ObjectID,Pair,i,j,Distance_Meters_dij,dij,popi,popj,pij20,pij60,pij140,Mij_10%_20mi,Mij_10%_60mi,Mij_10%_140mi,Mij_30%_20mi,Mij_30%_60mi,Mij_30%_140mi,Mij_50%_20mi,Mij_50%_60mi,Mij_50%_140mi,Real_mij,Mij_R
1,1 - 1,1,1,0.00,0.00,19714,19714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1 - 4,1,4,8272.03,5.14,19714,84730,0.295845212,0.135494395,0.126655252,583,267,250,1750,801,749,2916,1336,1248,0,0
3,1 - 14,1,14,10027.49,6.23,19714,9125,0.026283308,0.012037514,0.011252232,52,24,22,155,71,67,259,119,111,0,0
4,1 - 12,1,12,11242.20,6.99,19714,27774,0.071355291,0.032680069,0.030548145,141,64,60,422,193,181,703,322,301,0,0
5,1 - 3,1,3,12051.54,7.49,19714,17002,0.040747092,0.018661795,0.01744437,80,37,34,241,110,103,402,184,172,0,0
6,1 - 6,1,6,16334.68,10.15,19714,7517,0.013291471,0.006087372,0.005690255,26,12,11,79,36,34,131,60,56,0,0
7,1 - 15,1,15,17075.54,10.61,19714,25008,0.042300321,0.019373159,0.018109327,83,38,36,250,115,107,417,191,179,0,0
8,1 - 11,1,11,17984.67,11.18,19714,13877,0.022286015,0.010206791,0.009540938,44,20,19,132,60,56,220,101,94,0,0
9,1 - 9,1,9,18495.23,11.49,19714,19470,0.030405025,0.013925223,0.013016794,60,27,26,180,82,77,300,137,128,0,0
10,1 - 119,1,119,21046.62,13.08,19714,1641,0.002251985,0.001031389,0.000964105,4,2,2,13,6,6,22,10,10,0,0
11,1 - 23,1,23,21493.41,13.36,19714,18397,0.024721851,0.011322381,0.010583752,49,22,21,146,67,63,244,112,104,0,0
12,1 - 21,1,21,21517.46,13.37,19714,10247,0.013754506,0.006299438,0.005888486,27,12,12,81,37,35,136,62,58,0,0
13,1 - 164,1,164,22371.48,13.90,19714,19656,0.025376969,0.011622419,0.010864216,50,23,21,150,69,64,250,115,107,0,0
14,1 - 7,1,7,25598.78,15.91,19714,61952,0.069899709,0.032013426,0.029924991,138,63,59,413,189,177,689,316,295,0,0
15,1 - 20,1,20,26117.50,16.23,19714,35802,0.039592678,0.018133083,0.01695015,78,36,33,234,107,100,390,179,167,0,0
16,1 - 129,1,129,28273.62,17.57,19714,26974,0.027555178,0.012620019,0.011796736,54,25,23,163,75,70,272,124,116,0,0
17,1 - 133,1,133,28375.13,17.63,19714,2160,0.002198645,0.001006959,0.000941269,4,2,2,13,6,6,22,10,9,0,0
18,1 - 16,1,16,28784.44,17.89,19714,41097,0.041237428,0.018886364,0.017654289,81,37,35,244,112,104,406,186,174,0,0
19,1 - 2,1,2,29506.43,18.33,19714,144900,0.141837478,0.064960265,0.060722502,280,128,120,839,384,359,1398,640,599,0,0
20,1 - 17,1,17,29564.29,18.37,19714,3614,0.003530693,0.001617025,0.001511536,7,3,3,21,10,9,35,16,15,0,0
21,1 - 161,1,161,29943.53,18.61,19714,13226,0.012757475,0.005842807,0.005461644,25,12,11,75,35,32,126,58,54,0,0
22,1 - 22,1,22,31523.90,19.59,19714,28115,0.025759496,0.011797613,0.011027981,51,23,22,152,70,65,254,116,109,0,0
23,1 - 10,1,10,31695.06,19.69,19714,20213,0.018419529,0.008435975,0.007885644,36,17,16,109,50,47,182,83,78,0,0
24,1 - 142,1,142,32057.09,19.92,19714,9537,0.008592645,0.003935353,0.003678625,17,8,7,51,23,22,85,39,36,0,0
25,1 - 154,1,154,32283.80,20.06,19714,7731,0,0.003167722,0.002961072,0,6,6,0,19,18,0,31,29,0,0
26,1 - 148,1,148,32597.97,20.26,19714,12515,0,0.005078511,0.004747208,0,10,9,0,30,28,0,50,47,0,0
27,1 - 163,1,163,34029.30,21.14,19714,16509,0,0.006417468,0.005998817,0,13,12,0,38,35,0,63,59,0,0
28,1 - 19,1,19,34032.75,21.15,19714,51967,0,0.020198847,0.018881151,0,40,37,0,119,112,0,199,186,0,0
29,1 - 13,1,13,34970.12,21.73,19714,89047,0,0.033683578,0.031486188,0,66,62,0,199,186,0,332,310,0,0
30,1 - 143,1,143,35470.68,22.04,19714,18721,0,0.006981611,0.006526157,0,14,13,0,41,39,0,69,64,0,0
31,1 - 144,1,144,37964.17,23.59,19714,6182,0,0.002154027,0.002013506,0,4,4,0,13,12,0,21,20,0,0
32,1 - 156,1,156,38451.67,23.89,19714,31288,0,0.010763627,0.010061448,0,21,20,0,64,60,0,106,99,0,0
33,1 - 155,1,155,38964.78,24.21,19714,54661,0,0.018556727,0.017346156,0,37,34,0,110,103,0,183,171,0,0
34,1 - 160,1,160,39654.24,24.64,19714,13949,0,0.004653176,0.004349621,0,9,9,0,28,26,0,46,43,0,0
35,1 - 139,1,139,40307.82,25.05,19714,3434,0,0.001126956,0.001053438,0,2,2,0,7,6,0,11,10,0,0
36,1 - 166,1,166,40696.13,25.29,19714,108093,0,0.035135046,0.032842968,0,69,65,0,208,194,0,346,324,0,0
37,1 - 118,1,118,40836.88,25.37,19714,3422,0,0.001108469,0.001036156,0,2,2,0,7,6,0,11,10,0,0
38,1 - 140,1,140,41160.23,25.58,19714,21641,0,0.006954974,0.006501258,0,14,13,0,41,38,0,69,64,0,0
39,1 - 169,1,169,42017.24,26.11,19714,8805,0,0.00277203,0.002591193,0,5,5,0,16,15,0,27,26,0,0
40,1 - 5,1,5,42070.35,26.14,19714,21753,0,0.006839731,0.006393533,0,13,13,0,40,38,0,67,63,0,0
41,1 - 18,1,18,43047.09,26.75,19714,129775,0,0.039878908,0.037277359,0,79,73,0,236,220,0,393,367,0,0
42,1 - 145,1,145,43655.13,27.13,19714,5479,0,0.001660206,0.001551901,0,3,3,0,10,9,0,16,15,0,0
43,1 - 138,1,138,44664.17,27.75,19714,1399,0,0.000414338,0.000387308,0,1,1,0,2,2,0,4,4,0,0
44,1 - 167,1,167,45004.45,27.96,19714,54879,0,0.016130459,0.015078168,0,32,30,0,95,89,0,159,149,0,0
45,1 - 125,1,125,45241.83,28.11,19714,2785,0,0.000814294,0.000761172,0,2,2,0,5,5,0,8,8,0,0
46,1 - 162,1,162,45387.87,28.20,19714,9790,0,0.002853244,0.002667109,0,6,5,0,17,16,0,28,26,0,0
47,1 - 127,1,127,47119.45,29.28,19714,2262,0,0.000635021,0.000593595,0,1,1,0,4,4,0,6,6,0,0
48,1 - 157,1,157,47245.36,29.36,19714,130418,0,0.036515264,0.034133146,0,72,67,0,216,202,0,360,336,0,0
49,1 - 136,1,136,48706.30,30.26,19714,7560,0,0.002053207,0.001919263,0,4,4,0,12,11,0,20,19,0,0
50,1 - 168,1,168,48747.28,30.29,19714,16649,0,0.004517871,0.004223142,0,9,8,0,27,25,0,45,42,0,0
