TownID,NAME10,NAMELSAD10,Pop2018,Case0323,Case0324,Case0325,Cases0326,Case0327,Case0328,Case0329,Case0330,Case0331,Case0401,Case0402,Case0403,Case0404,Case0405,Case0406,Case0407,Case0408,Case0409,Case0410,Case0411,Case0412,Case0413,Case0414,Case0415,Case0416,Case0417,Case0418,Case0419,Case0420,Case0421,Case0422,Case0423,Case0424,Case0425,Case0426,Case0427,Case0428,Case0429,Case0430,Case0501,Case0502,Case0503,Case0504,Case0505,Case0506,Case0507,Case0508,Case0509,Case0510,Case0511
1,Bethel,Bethel town,19714,5,6,10,10,11,17,29,35,37,38,39,52,53,61,73,79,83,90,99,103,103,113,111,113,118,127,129,132,129,131,177,177,176,176,178,180,182,184,188,193,194,197,200,201,202,204,208,209,209,213
2,Bridgeport,Bridgeport town,144900,9,16,27,32,41,42,52,60,86,105,115,145,150,163,236,346,429,564,632,680,712,786,859,919,1042,1121,1199,1230,1356,1421,1514,1577,1640,1705,1768,1810,1838,1870,1961,2053,2099,2127,2156,2193,2266,2341,2378,2430,2468,2556
3,Brookfield,Brookfield town,17002,8,13,23,24,29,35,52,58,58,58,59,72,73,81,88,88,91,91,95,94,94,94,94,96,99,101,100,100,100,100,120,121,121,122,122,127,126,127,130,135,135,136,136,137,138,138,139,139,139,139
4,Danbury,Danbury town,84730,15,29,63,69,85,123,182,218,223,227,231,402,418,470,570,609,622,632,650,669,676,726,740,754,776,828,841,843,836,842,1297,1295,1299,1300,1321,1330,1332,1352,1372,1393,1421,1433,1452,1459,1473,1483,1491,1506,1507,1518
5,Darien,Darien town,21753,11,13,14,14,20,26,40,44,69,72,77,91,94,100,109,112,113,127,129,131,131,138,139,137,137,139,139,139,149,151,176,175,176,178,178,180,181,181,183,185,188,192,193,193,193,193,193,197,196,195
6,Easton,Easton town,7517,2,2,2,2,3,4,3,3,4,5,5,6,6,6,9,12,12,14,15,16,17,18,19,20,21,22,23,23,25,25,27,27,28,27,27,27,26,26,26,26,26,27,27,27,27,28,29,29,29,29
7,Fairfield,Fairfield town,61952,8,9,13,16,18,21,29,35,40,47,51,62,66,70,85,94,113,141,156,173,180,197,200,220,246,253,257,261,300,306,333,335,346,352,365,369,365,373,389,397,412,423,433,440,448,458,466,476,481,486
8,Greenwich,Greenwich town,62727,31,41,54,57,77,79,93,114,149,157,170,189,191,196,221,228,247,288,294,307,308,324,328,349,364,370,372,372,562,565,595,610,614,620,625,634,661,664,668,676,682,697,699,707,714,714,712,719,719,721
9,Monroe,Monroe town,19470,1,2,3,4,6,6,6,6,8,9,9,10,10,10,10,19,23,32,34,35,36,36,37,40,47,50,53,54,61,64,66,68,70,72,72,76,74,75,76,78,79,79,82,83,84,88,88,90,91,93
10,New Canaan,New Canaan town,20213,9,11,15,17,18,20,29,34,41,43,51,61,62,65,73,78,79,81,83,87,89,91,96,99,101,101,102,102,115,115,128,127,128,128,129,133,135,135,140,142,143,146,146,146,147,148,147,153,157,158
11,New Fairfield,New Fairfield town,13877,4,7,12,13,16,17,25,30,30,32,32,47,49,51,57,61,62,62,63,65,65,67,68,68,69,71,72,72,72,72,93,94,94,94,94,95,96,97,98,99,100,100,102,102,103,105,106,105,105,105
12,Newtown,Newtown town,27774,1,5,12,14,16,22,26,28,33,33,33,48,48,49,53,55,54,55,58,60,60,60,64,61,64,66,67,68,66,66,99,97,99,98,99,101,103,103,111,111,116,122,124,128,135,140,142,145,145,146
13,Norwalk,Norwalk town,89047,28,46,66,76,105,139,226,271,302,315,330,435,464,503,595,625,644,671,690,706,712,747,773,803,821,844,857,858,942,964,1358,1365,1390,1402,1409,1431,1456,1473,1517,1561,1586,1623,1641,1645,1667,1701,1730,1764,1763,1776
14,Redding,Redding town,9125,1,2,6,7,7,13,16,16,16,16,16,20,20,21,21,23,26,28,28,28,28,29,29,30,30,30,30,32,35,35,55,54,54,55,55,56,58,59,60,60,60,60,60,60,60,60,61,63,63,63
15,Ridgefield,Ridgefield town,25008,13,34,41,43,46,59,69,74,77,78,78,88,93,101,109,111,114,118,121,124,124,126,127,130,130,134,137,137,146,146,168,167,171,172,174,176,172,174,179,179,180,183,185,185,185,187,189,189,190,192
16,Shelton,Shelton town,41097,1,5,6,13,18,20,24,31,46,55,59,78,93,113,124,140,161,190,206,217,228,249,260,278,293,304,315,316,351,353,366,370,382,387,394,408,408,414,422,429,436,440,448,453,463,472,479,483,484,492
17,Sherman,Sherman town,3614,0,1,2,2,2,3,3,4,4,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13
18,Stamford,Stamford town,129775,30,34,48,60,76,86,126,157,401,437,508,589,604,652,888,1000,1045,1113,1189,1245,1289,1486,1525,1583,1620,1713,1748,1758,2046,2067,2167,2182,2223,2247,2255,2315,2337,2339,2390,2460,2491,2783,2788,2797,2830,2855,2872,2921,2937,2946
19,Stratford,Stratford town,51967,3,7,11,12,17,18,22,27,31,34,38,49,54,58,84,120,147,196,223,235,241,265,281,297,326,351,384,392,421,431,461,468,477,483,491,512,520,526,547,573,583,590,595,602,631,639,647,657,663,674
20,Trumbull,Trumbull town,35802,2,3,4,6,8,9,14,14,17,21,22,29,33,34,48,60,71,95,114,121,126,135,142,156,179,186,199,206,240,245,260,267,302,311,328,352,353,359,372,384,391,398,403,404,418,427,439,445,449,455
21,Weston,Weston town,10247,4,7,10,10,13,17,23,27,29,29,29,32,32,32,33,34,34,38,37,39,39,40,41,42,42,43,44,44,46,46,56,57,57,59,60,63,58,58,59,60,60,60,60,61,62,62,63,62,63,63
22,Westport,Westport town,28115,74,79,87,89,95,101,114,115,120,122,125,134,135,135,146,148,152,158,165,172,174,174,176,178,183,183,184,184,197,198,221,224,228,230,230,233,233,234,238,247,247,255,255,256,256,258,261,261,261,263
23,Wilton,Wilton town,18397,10,13,17,17,25,31,42,44,49,49,51,71,70,73,79,86,87,90,91,92,94,95,96,99,100,101,103,103,115,119,135,140,141,144,144,144,148,150,156,159,160,162,163,164,165,166,178,180,180,192
24,Bozrah,Bozrah town,2537,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,6,6,7,7,7,7,7,7
25,Colchester,Colchester town,15936,0,0,0,1,1,2,2,2,2,3,3,4,4,4,6,6,7,7,7,8,8,9,9,9,9,11,13,13,13,13,13,13,15,15,18,19,19,20,20,21,23,25,26,24,23,23,26,27,27,27
26,East Lyme,East Lyme town,18645,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,5,6,8,9,10,12,14,14,13,15,17,18,21,24,24,35,37,43,46,51,54,56,62,69,75,77,82,90,94,109,109,113,114,114,113
27,Franklin,Franklin town,1933,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
28,Griswold,Griswold town,11591,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,4,5,5,6,5,7,8,9,9,9,10,10,10,11,11,13,13,15,15,15,17,17,19,19,19,19,19,19,19,19,19,19
29,Groton,Groton town,38692,0,0,1,1,1,2,2,2,2,2,2,3,5,5,6,8,11,13,13,17,17,21,21,20,21,28,29,30,36,35,36,40,46,48,63,66,65,66,66,80,86,86,87,88,90,91,92,97,97,97
30,Lebanon,Lebanon town,7207,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,4,5,6,6,7,7,8,8,8,9,9,9,9,9,10,11,12,12,12,13,14,14,15,16,16,16,16,16,16,16,16,17,17,17,17
31,Ledyard,Ledyard town,14736,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,4,4,3,3,3,3,5,6,6,6,7,7,8,8,8,8,8,8,9,9,9,9,9,11,12,12,13,14,14,14,16,17,17,17,17
32,Lisbon,Lisbon town,4248,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,4,4,4,4,4,4,4,4,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5
33,Lyme,Lyme town,2338,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3
34,Montville,Montville town,18716,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,13,14,15,18,19,19,19,21,24,39,39,39,41,46,52,56,58,59,59,61,62,63,65,66,67,67,72,79,95,96,98,98,98,99
35,New London,New London town,30112,0,0,0,0,1,1,1,1,2,2,3,6,12,11,12,13,16,21,22,26,27,33,35,38,43,44,49,53,50,55,60,59,63,68,68,68,70,72,77,80,81,85,88,92,94,100,105,105,106,111
36,North Stonington,North Stonington town,5243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,2,2,2,2,2,2,3,3,4,6,5,5,8,8,8,9,9,9,9
37,Norwich,Norwich town,39136,1,2,2,2,2,2,2,2,2,2,2,3,5,5,6,6,8,12,13,15,13,19,22,22,24,26,26,26,27,30,31,33,34,35,36,38,41,39,41,44,47,50,52,55,56,58,58,59,59,60
38,Old Lyme,Old Lyme town,7366,0,0,1,0,0,0,1,1,1,1,1,3,3,3,3,3,3,5,7,8,8,9,9,9,9,9,9,9,10,10,10,10,11,12,12,13,13,13,13,14,14,14,15,15,15,15,15,16,16,16
39,Preston,Preston town,4638,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,4,4,4,4,4,5,6,7,8,8,8,8,8,8,8
40,Salem,Salem town,4123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4
41,Sprague,Sprague town,2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
42,Stonington,Stonington town,18449,1,1,1,1,1,1,1,1,2,2,2,3,6,6,6,9,15,14,13,19,19,19,18,21,18,18,18,20,23,23,24,24,26,27,27,27,26,26,26,26,27,28,27,29,29,30,30,26,27,27
43,Voluntown,Voluntown town,2535,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,4,4,5,5,5,5,5,7,7,7,7,7,7,7,8,8,8,8
44,Waterford,Waterford town,18887,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,12,17,20,32,36,38,42,43,45,50,54,66,78,82,83,84,91,94,99,99,102,109,111,114,118,117,119,136,136,137,137,138,139,139,141
45,Ashford,Ashford town,4261,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,9,9,9,9,9,9,9,9,9,10,10,10,11,11,12,12,12,13,13,13
46,Brooklyn,Brooklyn town,8280,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,4,4,5,5,6,6,6,8,9,10,11,11,13,13,13,13,13,13,14,13,13,13,14,15,15,16,16,16,16
47,Canterbury,Canterbury town,5100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,7,7,7,8,9,9,9,10,10,10,11,11,11,11,11
48,Chaplin,Chaplin town,2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3
49,Eastford,Eastford town,1790,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7
50,Hampton,Hampton town,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
51,Killingly,Killingly town,17287,0,0,0,1,1,1,2,2,2,2,2,2,3,3,6,6,6,6,7,9,9,10,11,12,12,13,14,15,17,17,17,17,18,19,19,20,20,19,20,21,21,21,20,22,23,22,23,23,23,23
52,Plainfield,Plainfield town,15173,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,6,7,7,9,9,9,9,10,11,11,11,11,13,14,14,15,16,17,17,18,21,22,23,24,24,24,26,26,26,27,27,27
53,Pomfret,Pomfret town,4204,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,4,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
54,Putnam,Putnam town,9395,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,4,4,6,6,6,6,6,6,6,6,6,9,9,10,11,11,11,11,11,15,15,17,17,17,18,18,17,17,17,18,19
55,Andover,Andover town,3231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
56,Bolton,Bolton town,4890,1,1,2,2,2,2,2,2,2,2,3,4,4,4,5,5,5,6,6,6,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,13,13,14,15,15,15,16,16,16,16
57,Columbia,Columbia town,5385,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,5,5,5,5,6,6,6,5,6,6,7,7,7,7,7,12,12,12,12,12,14,14,14,15,15,15,16
58,Coventry,Coventry town,12414,0,1,3,3,3,4,4,4,4,4,4,5,5,5,6,6,7,7,8,9,9,11,12,13,16,17,17,17,19,20,20,22,24,25,26,25,26,25,25,25,25,25,26,26,27,28,28,28,29,30
59,Ellington,Ellington town,16299,0,0,0,0,0,0,1,2,2,4,4,7,7,8,9,10,10,12,12,13,13,13,14,15,16,17,23,22,25,26,27,28,28,27,29,31,31,32,34,34,38,38,37,40,41,42,42,42,41,41
60,Hebron,Hebron town,9482,0,0,0,1,1,1,1,3,3,4,4,4,4,4,5,5,6,7,7,9,9,7,7,7,8,10,10,11,11,11,11,12,15,14,14,14,14,15,15,15,15,15,15,15,17,17,17,17,18,18
61,Mansfield,Mansfield town,25817,1,1,1,1,1,1,0,1,1,1,1,2,2,2,2,3,4,5,5,6,6,6,7,6,7,9,9,9,10,9,10,11,14,16,16,17,17,17,20,20,20,20,21,22,22,23,23,24,24,24
62,Scotland,Scotland town,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
